ine_district_code,municipality,district,district_number,source
4625001,valència,ciutat vella,1,valencia.es
4625002,valència,eixample,2,valencia.es
4625003,valència,extramurs,3,valencia.es
4625004,valència,campanar,4,valencia.es
4625005,valència,la saïdia,5,valencia.es
4625006,valència,el pla del real,6,valencia.es
4625007,valència,l'olivereta,7,valencia.es
4625008,valència,patraix,8,valencia.es
4625009,valència,jesús,9,valencia.es
4625010,valència,quatre carreres,10,valencia.es
4625011,valència,poblats marítims,11,valencia.es
4625012,valència,camins al grau,12,valencia.es
4625013,valència,algirós,13,valencia.es
4625014,valència,benimaclet,14,valencia.es
4625015,valència,rascanya,15,valencia.es
4625016,valència,benicalap,16,valencia.es
4625017,valència,pobles del nord,17,valencia.es
4625018,valència,pobles de l'oest,18,valencia.es
4625019,valència,pobles del sud,19,valencia.es
