alias,municipality,neighborhood,district,lat,lon
russafa,valència,russafa,eixample,39.4585,-0.3735
ruzafa,valència,russafa,eixample,39.4585,-0.3735
sant francesc,valència,sant francesc,ciutat vella,39.4699,-0.3763
el mercat,valència,el mercat,ciutat vella,39.4738,-0.3800
mercat,valència,el mercat,ciutat vella,39.4738,-0.3800
el carme,valència,el carme,ciutat vella,39.4775,-0.3790
el carmen,valència,el carme,ciutat vella,39.4775,-0.3790
el pilar,valència,el pilar,ciutat vella,39.4710,-0.3820
la seu,valència,la seu,ciutat vella,39.4757,-0.3753
la xerea,valència,la xerea,ciutat vella,39.4730,-0.3700
exposició,valència,exposició,el pla del real,39.4790,-0.3640
exposicio,valència,exposició,el pla del real,39.4790,-0.3640
mestalla,valència,mestalla,el pla del real,39.4750,-0.3580
jaume roig,valència,jaume roig,el pla del real,39.4790,-0.3620
ciutat universitària,valència,ciutat universitària,el pla del real,39.4800,-0.3530
arrancapins,valència,arrancapins,extramurs,39.4640,-0.3870
el botànic,valència,el botànic,extramurs,39.4760,-0.3870
el botanic,valència,el botànic,extramurs,39.4760,-0.3870
la roqueta,valència,la roqueta,extramurs,39.4660,-0.3810
la petxina,valència,la petxina,extramurs,39.4720,-0.3900
gran via,valència,gran via,extramurs,39.4640,-0.3760
gran vía,valència,gran via,extramurs,39.4640,-0.3760
la raiosa,valència,la raiosa,jesús,39.4560,-0.3850
patraix,valència,patraix,patraix,39.4570,-0.3960
nou moles,valència,nou moles,l'olivereta,39.4690,-0.4000
benicalap,valència,benicalap,benicalap,39.4940,-0.4030
nou benicalap,valència,nou benicalap,benicalap,39.4970,-0.4000
campanar,valència,campanar,campanar,39.4850,-0.3950
nou campanar,valència,nou campanar,campanar,39.4880,-0.3950
sant pau,valència,sant pau,campanar,39.4830,-0.3990
penya-roja,valència,penya-roja,camins al grau,39.4640,-0.3470
penya roja,valència,penya-roja,camins al grau,39.4640,-0.3470
albors,valència,albors,camins al grau,39.4690,-0.3520
aiora,valència,aiora,camins al grau,39.4660,-0.3450
ayora,valència,aiora,camins al grau,39.4660,-0.3450
ciutat de les arts i de les ciencies,valència,ciutat de les arts,quatre carreres,39.4540,-0.3500
ciutat de les arts i de les ciències,valència,ciutat de les arts,quatre carreres,39.4540,-0.3500
en corts,valència,en corts,quatre carreres,39.4520,-0.3700
malilla,valència,malilla,quatre carreres,39.4490,-0.3770
el cabanyal-el canyamelar,valència,el cabanyal,poblats marítims,39.4660,-0.3270
el cabanyal,valència,el cabanyal,poblats marítims,39.4660,-0.3270
el grau,valència,el grau,poblats marítims,39.4620,-0.3320
benimaclet,valència,benimaclet,benimaclet,39.4880,-0.3560
camí de vera,valència,camí de vera,benimaclet,39.4830,-0.3650
cami de vera,valència,camí de vera,benimaclet,39.4830,-0.3650
l'amistat,valència,l'amistat,algirós,39.4720,-0.3500
la carrasca,valència,la carrasca,algirós,39.4750,-0.3470
tres forques,valència,tres forques,l'olivereta,39.4690,-0.4040
